municipio,codigo_ibge,parâmetro,uf,Total de testes substâncias em geral para cada linha - incluindo MENOR_LQ,Total de inconsistentes,Total de Consistentes não detectados,Total de parâmetros com MENOR_LQ,Total de Consistentes detectados Abaixo do VMP,Total de Consistentes detectados Acima do VMP,Total_Detectados,consistente,prop1,prop2,cnae_161001,cnae_1071600,cnae_1072402,cnae_2022300,cnae_2029100,cnae_2031200,cnae_2072000,cnae_2091600,cnae_2093200,total_cnaes
JAGUARAO,431100,Acrilamida,RS,20,2,8,9,1,0,1,1,0.05555555555555555,0,4,0,0,0,0,0,0,0,0,4
JAGUARI,431110,Acrilamida,RS,28,5,11,12,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,3
JAIBA,313505,Acrilamida,MG,5,1,1,0,3,0,3,1,0.75,0,8,0,0,0,6,0,0,0,0,14
JALES,352480,Acrilamida,SP,23,6,6,11,0,0,0,1,0,0,1,0,0,0,2,2,0,0,0,5
JAMBEIRO,352490,Acrilamida,SP,100,28,24,48,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
JANAUBA,313510,Acrilamida,MG,4,3,0,0,1,0,1,1,1,0,5,0,0,0,2,1,0,0,0,8
JANDAIA DO SUL,411210,Acrilamida,PR,36,0,15,21,0,0,0,1,0,0,3,1,0,0,1,0,0,1,1,7
JANIOPOLIS,411220,Acrilamida,PR,41,1,17,23,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
JANUARIA,313520,Acrilamida,MG,27,13,0,0,14,0,14,1,1,0,1,3,0,0,32,0,0,1,0,37
JAPARATUBA,280330,Acrilamida,SE,5,5,0,0,0,0,0,0,NA,NA,1,0,0,0,0,0,0,0,0,1
JAPIRA,411230,Acrilamida,PR,15,0,5,10,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
JAPONVAR,313535,Acrilamida,MG,5,5,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0
JAPORA,500480,Acrilamida,MS,14,0,6,8,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
JAQUIRANA,431112,Acrilamida,RS,49,0,49,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
JARDIM,500500,Acrilamida,MS,14,8,6,0,0,0,0,1,0,0,1,2,0,0,0,0,0,0,1,4
JARDIM ALEGRE,411250,Acrilamida,PR,9,0,5,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
JARDIM BOTANICO,530010,Acrilamida,DF,10,3,0,7,0,0,0,1,0,0,52,8,0,0,12,2,1,2,2,79
JARDINOPOLIS,420895,Acrilamida,SC,33,2,11,20,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1
JARINU,352520,Acrilamida,SP,18,0,3,15,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1
JATEI,500510,Acrilamida,MS,28,0,12,16,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
JEQUITAI,313560,Acrilamida,MG,1,0,0,0,1,0,1,1,1,0,0,0,0,0,6,0,0,0,0,6
JEQUITIBA,313570,Acrilamida,MG,24,1,3,3,15,2,17,1,0.7391304347826086,0.08695652173913043,2,0,0,0,2,0,0,0,0,4
JEQUITINHONHA,313580,Acrilamida,MG,2,1,0,0,1,0,1,1,1,0,1,0,0,0,2,0,0,0,0,3
JERIQUARA,352540,Acrilamida,SP,13,0,6,7,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1
JESUITAS,411275,Acrilamida,PR,30,0,10,20,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1
JI-PARANA,110012,Acrilamida,RO,4,2,0,0,2,0,2,1,1,0,5,0,0,1,2,0,0,3,0,11
JIQUIRICA,291820,Acrilamida,BA,7,1,0,6,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1
JITAUNA,291830,Acrilamida,BA,7,1,0,6,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
JOACABA,420900,Acrilamida,SC,6,2,0,0,4,0,4,1,1,0,2,0,0,0,0,0,0,0,0,2
JOAIMA,313600,Acrilamida,MG,3,0,0,0,3,0,3,1,1,0,1,0,0,0,0,0,0,0,0,1
JOANOPOLIS,352550,Acrilamida,SP,53,16,14,23,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,2
