municipio,codigo_ibge,parâmetro,uf,Total de testes substâncias em geral para cada linha - incluindo MENOR_LQ,Total de inconsistentes,Total de Consistentes não detectados,Total de parâmetros com MENOR_LQ,Total de Consistentes detectados Abaixo do VMP,Total de Consistentes detectados Acima do VMP,Total_Detectados,prop1,prop2,cnae_111301,cnae_111302,cnae_111303,cnae_111399,cnae_112101,cnae_112102,cnae_112199,cnae_113000,cnae_114800,cnae_115600,cnae_116401,cnae_116402,cnae_116403,cnae_116499,cnae_119901,cnae_119902,cnae_119903,cnae_119904,cnae_119905,cnae_119906,cnae_119907,cnae_119908,cnae_119909,cnae_119999,cnae_121101,cnae_121102,cnae_122900,cnae_131800,cnae_132600,cnae_133401,cnae_133402,cnae_133403,cnae_133404,cnae_133405,cnae_133406,cnae_133407,cnae_133408,cnae_133409,cnae_133410,cnae_133411,cnae_133499,cnae_134200,cnae_135100,cnae_139301,cnae_139302,cnae_139303,cnae_139304,cnae_139305,cnae_139306,cnae_139399,cnae_141501,cnae_141502,cnae_142300,cnae_151201,cnae_151202,cnae_151203,cnae_152101,cnae_152102,cnae_152103,cnae_153901,cnae_153902,cnae_154700,cnae_155501,cnae_155502,cnae_155503,cnae_155504,cnae_155505,cnae_159899,cnae_161001,cnae_161003,cnae_210101,cnae_210102,cnae_210103,cnae_210104,cnae_210105,cnae_210106,cnae_210108,cnae_220902,cnae_1013901,cnae_1052000,cnae_2012600,cnae_2013401,cnae_2013402,cnae_2019399,cnae_2092401,cnae_2092402,cnae_2110600,cnae_2121101,cnae_2122000,cnae_3839401
SAO CRISTOVAO,280670,Nitrato (como N),SE,6,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,2,15,1,0,3,1,1,0,9,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0
SAO CRISTOVAO DO SUL,421605,Nitrato (como N),SC,49,30,7,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,3,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAO DESIDERIO,292890,Nitrato (como N),BA,33,12,0,21,0,0,0,0,0,11,8,0,10,15,0,1,0,0,69,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,2,4,8,0,29,1,2,0,0,0,0,0,2,1,0,0,0,0,0,4,33,5,0,0,0,0,1,0,3,1,0,0,0,1,0,0,0,0,0,0,0
SAO DOMINGOS,292895,Nitrato (como N),BA,26,12,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0
SAO DOMINGOS,421610,Nitrato (como N),SC,44,1,2,4,37,0,37,0.8604651162790697,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,7,0,0,0,0,0,0,0,0,1,12,0,0,0,0,0,0,0,0,0,0
SAO DOMINGOS,521980,Nitrato (como N),GO,13,9,0,0,4,0,4,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,10,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
SAO FELIPE,292910,Nitrato (como N),BA,13,6,0,7,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0
SAO FELIX DE MINAS,316105,Nitrato (como N),MG,1,1,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0
SAO FIDELIS,330480,Nitrato (como N),RJ,4,0,0,0,4,0,4,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,13,2,0,0,0,0,0,0,0,7,4,0,0,0,0,0,0,0,0,0,0
SAO FRANCISCO,316110,Nitrato (como N),MG,24,24,0,0,0,0,0,NA,NA,1,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,9,8,0,0,0,0,0,2,0,4,13,0,0,0,0,0,0,0,0,0,0
SAO FRANCISCO,354900,Nitrato (como N),SP,24,6,0,1,17,0,17,0.9444444444444444,0,1,19,0,1,4,0,0,15,0,2,0,0,0,1,0,0,0,0,0,1,0,0,0,8,39,0,0,84,95,0,20,0,12,0,0,0,0,0,0,0,1,26,0,0,0,0,0,0,5,2,9,1,3,290,41,3,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
