municipio,codigo_ibge,parâmetro,uf,Total de testes substâncias em geral para cada linha - incluindo MENOR_LQ,Total de inconsistentes,Total de Consistentes não detectados,Total de parâmetros com MENOR_LQ,Total de Consistentes detectados Abaixo do VMP,Total de Consistentes detectados Acima do VMP,Total_Detectados,prop1,prop2,cnae_729403,cnae_1043100,cnae_2019399,cnae_2093200,cnae_2094100,cnae_2423702,cnae_2449199,cnae_2452100,cnae_2539001,cnae_2539002,cnae_2721000,cnae_2722801,cnae_2722802,cnae_3211603,cnae_3250706,cnae_3313902
CONDOR,430570,Níquel,RS,60,0,59,1,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0
CONEGO MARINHO,311783,Níquel,MG,13,10,0,0,3,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CONFINS,311787,Níquel,MG,9,5,0,0,4,0,4,1,0,0,0,0,0,0,0,0,0,13,1,0,0,0,0,0,0
CONGONHAL,311790,Níquel,MG,6,6,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0
CONGONHAS,311800,Níquel,MG,70,70,0,0,0,0,0,NA,NA,0,0,0,1,0,0,0,1,22,2,0,0,0,0,0,0
CONGONHINHAS,410600,Níquel,PR,30,0,16,14,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
CONQUISTA,311820,Níquel,MG,6,1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
CONSELHEIRO LAFAIETE,311830,Níquel,MG,56,38,0,16,2,0,2,0.1111111111111111,0,0,0,1,0,0,0,0,1,33,0,0,0,0,0,7,0
CONSELHEIRO MAIRINCK,410610,Níquel,PR,36,0,16,20,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
CONSTANTINA,430580,Níquel,RS,53,0,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,1,0
CONTENDA,410620,Níquel,PR,29,0,20,6,3,0,3,0.10344827586206896,0,0,0,0,0,1,0,0,0,11,1,0,0,0,0,0,0
CONTENDAS DO SINCORA,290880,Níquel,BA,7,3,0,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
CORACAO DE JESUS,311880,Níquel,MG,25,8,0,3,12,2,14,0.8235294117647058,0.11764705882352941,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
CORBELIA,410630,Níquel,PR,60,0,30,28,2,0,2,0.03333333333333333,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,1,0
CORDISBURGO,311890,Níquel,MG,7,0,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0
CORINTO,311910,Níquel,MG,29,12,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0
CORNELIO PROCOPIO,410640,Níquel,PR,63,2,44,15,2,0,2,0.03278688524590164,0,0,0,0,1,0,0,0,0,21,1,0,1,0,0,1,0
COROADOS,351250,Níquel,SP,21,6,8,6,1,0,1,0.06666666666666667,0,0,0,0,0,0,0,0,5,9,3,0,0,0,0,0,0
CORONEL BICACO,430590,Níquel,RS,40,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0
CORONEL DOMINGOS SOARES,410645,Níquel,PR,12,0,10,2,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0
CORONEL FREITAS,420440,Níquel,SC,23,2,5,16,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
CORONEL MACEDO,351260,Níquel,SP,26,12,0,13,1,0,1,0.07142857142857142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CORONEL MARTINS,420445,Níquel,SC,21,2,3,15,1,0,1,0.05263157894736842,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CORONEL SAPUCAIA,500315,Níquel,MS,13,0,11,2,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0
CORONEL VIVIDA,410650,Níquel,PR,20,0,16,2,2,0,2,0.1,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,2,0
CORONEL XAVIER CHAVES,311970,Níquel,MG,5,4,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0
CORREGO DANTA,311980,Níquel,MG,3,2,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3
CORREGO DO OURO,520570,Níquel,GO,6,0,0,1,5,0,5,0.8333333333333334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CORREIA PINTO,420455,Níquel,SC,32,2,2,24,4,0,4,0.13333333333333333,0,0,0,0,0,0,0,0,0,14,0,0,1,1,0,0,0
CORRENTES,260470,Níquel,PE,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CORUMBA,500320,Níquel,MS,10,0,4,4,2,0,2,0.2,0,0,0,0,0,0,0,0,0,28,0,0,1,0,0,2,1
CORUMBAIBA,520590,Níquel,GO,48,4,17,8,19,0,19,0.4318181818181818,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CORUMBATAI DO SUL,410655,Níquel,PR,14,0,10,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COTEGIPE,290940,Níquel,BA,6,6,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COTIA,351300,Níquel,SP,40,3,17,16,4,0,4,0.10810810810810811,0,0,0,0,15,0,1,1,6,106,9,0,1,0,0,5,5
COTIPORA,430595,Níquel,RS,38,0,37,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
COXIM,500330,Níquel,MS,55,3,21,31,0,0,0,0,0,0,0,0,0,0,0,0,1,18,0,0,1,0,0,0,0
CRATEUS,230410,Níquel,CE,3,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,2,0
CRAVOLANDIA,290950,Níquel,BA,17,7,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CRICIUMA,420460,Níquel,SC,20,0,2,17,1,0,1,0.05,0,0,0,2,8,0,0,6,6,233,15,0,0,0,0,17,2
CRISOPOLIS,290960,Níquel,BA,6,6,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
CRISSIUMAL,430600,Níquel,RS,32,0,32,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,0,0,0,0,0,1,0
CRISTAIS,312020,Níquel,MG,17,10,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0
CRISTAL,430605,Níquel,RS,25,0,23,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
CRISTALANDIA,170610,Níquel,TO,4,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CRISTALIA,312030,Níquel,MG,5,5,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
CRISTALINA,520620,Níquel,GO,26,3,1,2,20,0,20,0.8695652173913043,0,0,0,0,0,0,0,0,0,20,1,0,0,0,0,2,0
CRISTIANO OTONI,312040,Níquel,MG,6,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
CRISTIANOPOLIS,520630,Níquel,GO,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
CRISTOPOLIS,290970,Níquel,BA,5,5,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
CRIXAS,520640,Níquel,GO,8,5,2,0,1,0,1,0.3333333333333333,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,1,0
CROMINIA,520650,Níquel,GO,20,1,3,3,13,0,13,0.6842105263157895,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
CRUCILANDIA,312060,Níquel,MG,17,5,6,0,6,0,6,0.5,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
CRUZ ALTA,430610,Níquel,RS,45,0,41,2,1,1,2,0.044444444444444446,0.022222222222222223,0,0,0,0,0,0,0,0,28,1,0,0,0,0,6,0
CRUZ MACHADO,410680,Níquel,PR,57,0,30,27,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,1,0
CRUZALIA,351330,Níquel,SP,17,5,3,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CRUZEIRO DA FORTALEZA,312070,Níquel,MG,11,0,2,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CRUZEIRO DO IGUACU,410657,Níquel,PR,72,0,32,40,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
CRUZEIRO DO OESTE,410660,Níquel,PR,38,0,15,23,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0
CRUZEIRO DO SUL,410670,Níquel,PR,20,0,4,14,2,0,2,0.1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
CRUZEIRO DO SUL,430620,Níquel,RS,8,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0
CRUZILIA,312080,Níquel,MG,27,2,2,23,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0
CRUZMALTINA,410685,Níquel,PR,55,2,37,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CUBATAO,351350,Níquel,SP,50,1,16,27,6,0,6,0.12244897959183673,0,0,0,1,0,0,0,0,0,57,2,0,0,0,0,1,0
CUMARI,520660,Níquel,GO,12,1,5,1,5,0,5,0.45454545454545453,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CUNHA PORA,420470,Níquel,SC,20,0,2,12,6,0,6,0.3,0,0,0,0,0,0,0,0,1,6,0,0,0,0,0,0,0
CUNHATAI,420475,Níquel,SC,36,2,2,26,6,0,6,0.17647058823529413,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CURIONOPOLIS,150277,Níquel,PA,78,10,30,31,7,0,7,0.10294117647058823,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0
CURITIBA,410690,Níquel,PR,104,0,66,30,8,0,8,0.07692307692307693,0,0,0,4,22,0,8,16,30,1316,111,4,4,0,0,185,17
CURITIBANOS,420480,Níquel,SC,36,4,2,20,10,0,10,0.3125,0,0,0,0,0,0,0,0,1,22,0,0,0,0,0,1,0
CURIUVA,410700,Níquel,PR,53,0,26,27,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0
CURRAL DE DENTRO,312087,Níquel,MG,34,22,0,3,9,0,9,0.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CURVELO,312090,Níquel,MG,83,17,15,49,2,0,2,0.030303030303030304,0,0,0,0,0,0,0,0,0,48,2,0,1,1,0,5,0
DAMIANOPOLIS,520670,Níquel,GO,5,2,2,0,1,0,1,0.3333333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DAMOLANDIA,520680,Níquel,GO,4,0,0,0,4,0,4,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
DARIO MEIRA,291000,Níquel,BA,16,5,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DAVID CANABARRO,430630,Níquel,RS,34,2,30,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DELFINOPOLIS,312120,Níquel,MG,15,15,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
DEODAPOLIS,500345,Níquel,MS,80,2,12,66,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,1,0
DERRUBADAS,430632,Níquel,RS,31,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
DESCANSO,420490,Níquel,SC,35,0,7,23,5,0,5,0.14285714285714285,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
DESTERRO DO MELO,312150,Níquel,MG,15,10,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
DIAMANTE D'OESTE,410715,Níquel,PR,40,0,20,20,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
DIAMANTE DO NORTE,410710,Níquel,PR,15,0,10,5,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
DIAMANTE DO SUL,410712,Níquel,PR,19,0,10,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DIAMANTINA,312160,Níquel,MG,4,4,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,14,1,0,0,0,0,2,0
DIANOPOLIS,170700,Níquel,TO,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,1
DIAS D'AVILA,291005,Níquel,BA,88,75,0,13,0,0,0,0,0,0,0,0,4,0,0,3,0,100,10,0,0,0,0,2,1
DILERMANDO DE AGUIAR,430637,Níquel,RS,19,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DIONISIO CERQUEIRA,420500,Níquel,SC,29,2,2,23,2,0,2,0.07407407407407407,0,0,0,0,0,0,0,0,0,4,0,0,1,1,0,2,0
DIORAMA,520710,Níquel,GO,14,2,1,1,10,0,10,0.8333333333333334,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
DIRCE REIS,351385,Níquel,SP,24,7,10,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DIVINESIA,312190,Níquel,MG,2,2,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DIVINO,312200,Níquel,MG,20,2,12,0,6,0,6,0.3333333333333333,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,0
DIVINO DAS LARANJEIRAS,312210,Níquel,MG,17,17,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
DIVINO DE SAO LOURENCO,320180,Níquel,ES,2,0,0,1,1,0,1,0.5,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
DIVINOLANDIA,351390,Níquel,SP,64,14,24,26,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0
DIVINOPOLIS,312230,Níquel,MG,38,8,0,1,28,1,29,0.9666666666666667,0.03333333333333333,0,0,0,0,0,7,3,26,187,17,0,0,0,0,15,0
DIVINOPOLIS DE GOIAS,520830,Níquel,GO,8,4,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0
DIVISA ALEGRE,312235,Níquel,MG,9,7,0,0,0,2,2,1,1,0,0,1,0,0,0,0,0,2,0,0,0,0,0,1,0
DIVISA NOVA,312240,Níquel,MG,2,2,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
DIVISOPOLIS,312245,Níquel,MG,7,4,0,0,3,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DOIS IRMAOS,430640,Níquel,RS,152,38,112,2,0,0,0,0,0,0,0,1,0,0,0,0,0,8,3,0,0,0,0,2,0
DOIS IRMAOS DO BURITI,500348,Níquel,MS,15,1,11,3,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0
DOIS VIZINHOS,410720,Níquel,PR,35,0,16,19,0,0,0,0,0,0,0,0,0,0,0,0,1,20,0,0,0,0,0,7,0
DOLCINOPOLIS,351420,Níquel,SP,22,6,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DOM FELICIANO,430650,Níquel,RS,29,1,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DOM PEDRITO,430660,Níquel,RS,34,6,26,2,0,0,0,0,0,0,0,0,0,0,0,0,0,26,1,0,0,0,0,1,1
DOM SILVERIO,312270,Níquel,MG,20,2,14,2,2,0,2,0.1111111111111111,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
DOMINGOS MARTINS,320190,Níquel,ES,24,2,2,14,6,0,6,0.2727272727272727,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0
DONA EMMA,420510,Níquel,SC,20,0,2,14,4,0,4,0.2,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0
DONA EUSEBIA,312290,Níquel,MG,3,3,0,0,0,0,0,NA,NA,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
DONA FRANCISCA,430670,Níquel,RS,26,0,22,3,1,0,1,0.038461538461538464,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
DORES DO INDAIA,312320,Níquel,MG,17,0,1,2,14,0,14,0.8235294117647058,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0
DOURADINA,410725,Níquel,PR,60,3,20,35,2,0,2,0.03508771929824561,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
DOURADINA,500350,Níquel,MS,34,1,21,12,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1,0
DOURADO,351430,Níquel,SP,42,14,8,11,9,0,9,0.32142857142857145,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
DOURADOS,500370,Níquel,MS,179,3,121,55,0,0,0,0,0,0,0,0,0,0,0,0,0,174,1,0,1,0,0,12,0
DOUTOR CAMARGO,410730,Níquel,PR,16,0,10,5,1,0,1,0.0625,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0
DOUTOR MAURICIO CARDOSO,430673,Níquel,RS,17,0,14,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
DOUTOR PEDRINHO,420515,Níquel,SC,41,0,7,27,7,0,7,0.17073170731707318,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
DOVERLANDIA,520725,Níquel,GO,29,3,12,3,11,0,11,0.4230769230769231,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0
DUARTINA,351450,Níquel,SP,18,0,0,17,1,0,1,0.05555555555555555,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0
DUAS BARRAS,330160,Níquel,RJ,25,0,0,18,7,0,7,0.28,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
DURANDE,312352,Níquel,MG,8,0,6,0,2,0,2,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ECHAPORA,351470,Níquel,SP,15,5,1,6,3,0,3,0.3,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0
ECOPORANGA,320210,Níquel,ES,39,7,0,32,0,0,0,0,0,0,0,0,0,0,0,1,0,9,0,0,0,0,0,0,0
EDEALINA,520735,Níquel,GO,18,4,4,3,7,0,7,0.5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
EDEIA,520740,Níquel,GO,16,1,4,2,9,0,9,0.6,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,1,0
ELDORADO,351480,Níquel,SP,108,31,11,27,38,1,39,0.5064935064935064,0.012987012987012988,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
ELDORADO,500375,Níquel,MS,24,0,6,18,0,0,0,0,0,0,0,0,0,0,1,0,0,4,0,0,0,0,0,2,0
ELDORADO DOS CARAJAS,150295,Níquel,PA,16,0,11,5,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0
ELIAS FAUSTO,351490,Níquel,SP,59,24,13,16,6,0,6,0.17142857142857143,0,0,0,0,1,0,0,1,5,11,2,0,0,0,0,0,0
ELISIO MEDRADO,291030,Níquel,BA,13,6,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EMBU-GUACU,351510,Níquel,SP,47,20,7,16,4,0,4,0.14814814814814814,0,0,0,1,0,0,0,1,2,25,1,0,0,0,0,1,2
EMILIANOPOLIS,351512,Níquel,SP,16,3,2,7,4,0,4,0.3076923076923077,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
ENCANTADO,430680,Níquel,RS,61,0,58,3,0,0,0,0,0,0,0,0,1,0,0,0,0,15,1,0,0,0,0,1,0
ENCRUZILHADA,291040,Níquel,BA,11,3,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
ENCRUZILHADA DO SUL,430690,Níquel,RS,24,1,23,0,0,0,0,0,0,0,0,0,0,0,0,0,1,14,0,0,0,1,0,1,0
ENEAS MARQUES,410740,Níquel,PR,20,0,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,0,0,0,0,0
ENGENHEIRO BELTRAO,410750,Níquel,PR,70,0,40,30,0,0,0,0,0,0,0,0,1,0,0,1,0,10,0,0,0,0,0,1,0
ENGENHEIRO NAVARRO,312380,Níquel,MG,4,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
ENTRE RIOS,291050,Níquel,BA,20,18,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0
ENTRE RIOS,420517,Níquel,SC,14,0,2,11,1,0,1,0.07142857142857142,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
ENTRE RIOS DE MINAS,312390,Níquel,MG,48,45,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
ENTRE RIOS DO SUL,430695,Níquel,RS,33,2,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
ENTRE-IJUIS,430693,Níquel,RS,15,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0
EREBANGO,430697,Níquel,RS,38,1,36,1,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0
ERECHIM,430700,Níquel,RS,106,5,95,4,2,0,2,0.019801980198019802,0,0,0,0,0,0,0,1,4,250,8,1,0,0,0,19,0
ERVAL GRANDE,430720,Níquel,RS,32,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0
ERVAL SECO,430730,Níquel,RS,14,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
ERVAL VELHO,420520,Níquel,SC,17,2,5,9,1,0,1,0.06666666666666667,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0
ERVALIA,312400,Níquel,MG,4,4,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0
ESMERALDA,430740,Níquel,RS,33,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
ESPERA FELIZ,312420,Níquel,MG,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0
ESPERANCA NOVA,410752,Níquel,PR,21,2,9,9,1,0,1,0.05263157894736842,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
ESPINOSA,312430,Níquel,MG,23,9,0,6,8,0,8,0.5714285714285714,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,1,0
ESPIRITO SANTO DO PINHAL,351518,Níquel,SP,26,8,8,10,0,0,0,0,0,0,0,1,0,0,0,1,0,31,1,0,0,0,0,1,0
ESPLANADA,291060,Níquel,BA,12,12,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0
ESPUMOSO,430750,Níquel,RS,118,3,115,0,0,0,0,0,0,0,0,0,0,0,0,0,1,20,0,0,0,0,0,0,0
ESTACAO,430755,Níquel,RS,71,2,69,0,0,0,0,0,0,0,0,0,0,0,0,1,0,9,1,0,0,0,0,0,0
ESTANCIA VELHA,430760,Níquel,RS,13,1,12,0,0,0,0,0,0,0,1,1,3,0,0,3,0,27,9,0,0,0,0,3,0
ESTEIO,430770,Níquel,RS,28,3,19,6,0,0,0,0,0,0,1,0,2,0,0,0,4,115,5,0,2,0,0,2,1
ESTIVA,312450,Níquel,MG,12,3,2,7,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
ESTRELA,430780,Níquel,RS,149,23,120,6,0,0,0,0,0,0,0,0,1,0,0,0,0,74,1,1,0,0,0,1,0
ESTRELA D'OESTE,351520,Níquel,SP,43,11,16,14,2,0,2,0.0625,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
ESTRELA DO NORTE,351530,Níquel,SP,20,4,4,8,4,0,4,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
ESTRELA DO NORTE,520750,Níquel,GO,6,2,2,0,2,0,2,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
EUCLIDES DA CUNHA,291070,Níquel,BA,13,13,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,5,1,0,0,0,0,3,0
EUCLIDES DA CUNHA PAULISTA,351535,Níquel,SP,40,11,11,10,8,0,8,0.27586206896551724,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
EUNAPOLIS,291072,Níquel,BA,6,6,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,48,2,0,0,0,0,0,2
EXTREMA,312510,Níquel,MG,15,8,0,7,0,0,0,0,0,0,0,2,0,0,0,1,3,26,2,2,0,0,0,3,0
FAGUNDES VARELA,430786,Níquel,RS,36,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,3,0,0,0,0,0,0
FARIA LEMOS,312530,Níquel,MG,5,0,2,0,3,0,3,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FAROL,410755,Níquel,PR,16,0,10,4,2,0,2,0.125,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
FARROUPILHA,430790,Níquel,RS,92,0,70,15,7,0,7,0.07608695652173914,0,0,0,0,1,0,0,1,4,72,4,0,0,0,0,4,0
FARTURA,351540,Níquel,SP,21,2,0,18,1,0,1,0.05263157894736842,0,0,0,0,0,0,0,0,0,8,1,0,0,0,0,0,1
FATIMA,291075,Níquel,BA,3,3,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
FATIMA DO SUL,500380,Níquel,MS,45,1,32,12,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0
FAXINAL,410760,Níquel,PR,21,4,10,5,2,0,2,0.11764705882352941,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0
FAXINAL DO SOTURNO,430800,Níquel,RS,38,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0
FAXINAL DOS GUEDES,420530,Níquel,SC,28,0,4,21,3,0,3,0.10714285714285714,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0
FAXINALZINHO,430805,Níquel,RS,31,2,28,0,1,0,1,0.034482758620689655,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
FAZENDA NOVA,520760,Níquel,GO,12,5,2,0,5,0,5,0.7142857142857143,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
FAZENDA RIO GRANDE,410765,Níquel,PR,35,0,16,19,0,0,0,0,0,0,0,0,1,0,0,0,2,139,5,0,0,0,0,1,0
