municipio,codigo_ibge,parâmetro,uf,Total de testes substâncias em geral para cada linha - incluindo MENOR_LQ,Total de inconsistentes,Total de Consistentes não detectados,Total de parâmetros com MENOR_LQ,Total de Consistentes detectados Abaixo do VMP,Total de Consistentes detectados Acima do VMP,Total_Detectados,prop1,prop2,cnae_729403,cnae_1043100,cnae_2019399,cnae_2093200,cnae_2094100,cnae_2423702,cnae_2449199,cnae_2452100,cnae_2539001,cnae_2539002,cnae_2721000,cnae_2722801,cnae_2722802,cnae_3211603,cnae_3250706,cnae_3313902
AGUIARNOPOLIS,170030,Níquel,TO,18,0,4,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AIQUARA,290060,Níquel,BA,15,4,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AJURICABA,430020,Níquel,RS,36,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,1,0,0,0,0
ALAMBARI,350075,Níquel,SP,48,2,0,42,4,0,4,0.08695652173913043,0,0,0,0,0,0,0,0,0,6,0,0,1,0,0,0,0
ALCINOPOLIS,500025,Níquel,MS,14,1,5,8,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
ALCOBACA,290080,Níquel,BA,12,12,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
ALECRIM,430030,Níquel,RS,26,0,22,4,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0
ALEGRETE,430040,Níquel,RS,233,27,206,0,0,0,0,0,0,0,0,1,0,0,0,0,0,44,0,0,0,0,0,6,0
ALEXANIA,520030,Níquel,GO,22,4,5,1,12,0,12,0.6666666666666666,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0
ALFENAS,310160,Níquel,MG,3,3,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,2,41,2,0,0,1,0,11,0
ALFREDO MARCONDES,350080,Níquel,SP,20,8,6,4,2,0,2,0.16666666666666666,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
ALFREDO VASCONCELOS,310163,Níquel,MG,9,9,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0
ALFREDO WAGNER,420070,Níquel,SC,18,0,1,14,3,0,3,0.16666666666666666,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0
ALIANCA DO TOCANTINS,170035,Níquel,TO,11,0,0,10,1,0,1,0.09090909090909091,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0
ALMADINA,290090,Níquel,BA,16,6,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
ALMAS,170040,Níquel,TO,75,1,15,54,5,0,5,0.06756756756756757,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALMENARA,310170,Níquel,MG,9,1,0,0,8,0,8,1,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,1,0
ALMIRANTE TAMANDARE,410040,Níquel,PR,32,0,26,6,0,0,0,0,0,0,0,0,1,0,0,0,1,79,3,0,0,0,0,1,0
ALOANDIA,520050,Níquel,GO,32,7,8,5,12,0,12,0.48,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
ALPERCATA,310180,Níquel,MG,5,1,0,0,4,0,4,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
ALPESTRE,430050,Níquel,RS,11,0,10,0,1,0,1,0.09090909090909091,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0
ALPINOPOLIS,310190,Níquel,MG,16,16,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,20,0,0,0,0,0,1,0
ALTAIR,350090,Níquel,SP,30,3,13,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALTAMIRA DO PARANA,410045,Níquel,PR,16,0,10,6,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
ALTEROSA,310200,Níquel,MG,6,6,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
ALTO ALEGRE,350110,Níquel,SP,34,0,12,14,8,0,8,0.23529411764705882,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
ALTO ALEGRE,430055,Níquel,RS,22,1,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
